Année;Mois;Régulatité composite en %;Période;Ponctualité Origine en %;Axe
2018;8;87.8;2018-08;81.0;1
2018;8;86.6;2018-08;74.5;4
2018;7;81.0;2018-07;80.9;4
2018;10;86.0;2018-10;83.5;3
2018;11;85.2;2018-11;82.5;3
2018;9;89.7;2018-09;80.9;4
2018;10;87.0;2018-10;84.0;6
2019;1;89.9;2019-01;87.6;1
2019;1;92.10000000000001;2019-01;87.2;3
2018;12;88.9;2018-12;80.9;5
2018;9;90.60000000000001;2018-09;85.2;1
2018;9;90.2;2018-09;79.2;5
2018;10;89.7;2018-10;86.5;1
2018;9;88.9;2018-09;69.0;7
2018;11;88.7;2018-11;84.39999999999999;6
2018;10;88.9;2018-10;80.4;4
2018;11;88.7;2018-11;80.5;4
2018;11;93.10000000000001;2018-11;81.5;5
2018;8;88.4;2018-08;66.7;2
2018;7;78.2;2018-07;87.3;6
2018;8;86.4;2018-08;84.1;6
2018;6;85.3;2018-06;81.39999999999999;1
2015;10;92.04647006260001;2015-10;78.07203389829999;2
2016;1;92.38017871650001;2016-01;88.5643476722;1
2017;12;84.1495992876;2017-12;77.2242585805;1
2017;11;87.9286694102;2017-11;74.6734809767;2
2017;10;88.7798036466;2017-10;74.0168539326;4
2017;12;86.57424297700001;2017-12;83.2303618711;6
2017;9;93.6685288641;2017-09;85.16320474780001;5
2017;12;90.8793604651;2017-12;79.2430278884;5
2017;10;93.6063218391;2017-10;85.070306038;5
2015;9;88.798185941;2015-09;73.90374331550001;2
2015;1;91.7079207921;2015-01;87.3530399731;1
2015;1;90.2751803366;2015-01;75.4982415006;2
2018;5;87.8;2018-05;81.3;3
2015;2;90.5385967716;2015-02;85.7610756766;3
2015;1;90.5528237222;2015-01;86.0209846651;3
2015;4;89.58755916160001;2015-04;84.9471114727;6
2015;10;95.06502167389999;2015-10;85.21674694330001;5
2015;10;91.2434895833;2015-10;85.931410756;6
2015;8;95.3412784399;2015-08;86.3052208835;5
2016;5;90.0329102022;2016-05;74.89010989009999;2
2015;2;88.8098865752;2015-02;85.29520295200001;1
2015;12;92.40506329109999;2015-12;86.0831889081;1
2016;2;90.5918057663;2016-02;78.2345828295;2
2015;11;90.423572744;2015-11;75.6403269755;2
2016;3;92.041243757;2016-03;86.90812720849999;3
2016;5;90.5405405405;2016-05;79.72972972970001;4
2015;12;94.1217391304;2015-12;87.5797532965;6
2015;11;88.7410440123;2015-11;85.3918752565;6
2016;4;92.8571428571;2016-04;86.6103739445;5
2016;6;85.45454545449999;2016-06;66.68671076369999;2
2016;11;80.7202680067;2016-11;80.5514705882;1
2016;10;85.0196463654;2016-10;83.93912265;1
2016;8;88.9170131983;2016-08;83.93962848299999;3
2016;10;87.1852362884;2016-10;83.1951770912;3
2016;11;85.4691689008;2016-11;83.6193447738;3
2016;9;91.4352626296;2016-09;85.7257097161;6
2016;12;94.0822111977;2016-12;86.66117743929999;5
2016;6;85.6435643564;2016-06;74.0;4
2016;8;95.7402234637;2016-08;88.016194332;5
2017;6;81.3188647746;2017-06;77.9996336325;1
2017;5;87.6128385155;2017-05;83.9269406393;1
2017;1;89.21552158579999;2017-01;84.6265673269;3
2017;3;91.76512079;2017-03;84.4730177284;3
2017;2;91.8918918919;2017-02;79.0640394089;4
2017;5;90.5807365439;2017-05;86.78232135479999;6
2017;7;89.5410082769;2017-07;84.94002665480001;6
2017;3;90.243902439;2017-03;78.0487804878;4
2017;1;91.69598874030001;2017-01;83.11582381730001;5
2017;4;90.795287187;2017-04;86.15384615379999;5
2018;4;86.3;2018-04;81.10000000000001;1
2018;4;90.8;2018-04;76.6;4
2018;2;87.7;2018-02;83.2;1
2018;2;90.5;2018-02;79.4;5
2018;2;89.60000000000001;2018-02;73.8;2
2018;1;94.3;2018-01;83.89999999999999;5
